Ruta,Dia,Tiempo_recorrido_min,Pasajeros,Clima
Ruta 2,Miércoles,35,45,Nublado
Ruta 2,Jueves,28,34,Lluvioso
Ruta 1,Lunes,48,33,Nublado
Ruta 1,Domingo,47,40,Soleado
Ruta 4,Martes,52,22,Soleado
Ruta 1,Domingo,50,40,Nublado
Ruta 5,Lunes,44,32,Lluvioso
Ruta 1,Miércoles,26,47,Soleado
Ruta 3,Miércoles,43,31,Lluvioso
Ruta 4,Viernes,55,13,Nublado
Ruta 4,Viernes,20,46,Soleado
Ruta 3,Lunes,49,6,Nublado
Ruta 5,Sábado,46,31,Soleado
Ruta 4,Viernes,29,11,Soleado
Ruta 5,Sábado,39,48,Lluvioso
Ruta 5,Sábado,30,21,Nublado
Ruta 2,Martes,45,47,Nublado
Ruta 2,Jueves,23,15,Nublado
Ruta 4,Viernes,59,9,Lluvioso
Ruta 2,Jueves,57,28,Soleado
Ruta 4,Martes,28,38,Nublado
Ruta 4,Miércoles,59,48,Soleado
Ruta 4,Martes,32,35,Soleado
Ruta 3,Sábado,40,13,Soleado
Ruta 1,Miércoles,53,46,Soleado
Ruta 5,Viernes,29,29,Lluvioso
Ruta 1,Lunes,59,16,Soleado
Ruta 5,Miércoles,43,17,Soleado
Ruta 4,Viernes,20,14,Nublado
Ruta 4,Sábado,38,40,Lluvioso
Ruta 1,Jueves,45,19,Soleado
Ruta 4,Domingo,41,17,Nublado
Ruta 1,Martes,40,21,Nublado
Ruta 5,Lunes,37,10,Soleado
Ruta 1,Domingo,29,26,Lluvioso
Ruta 5,Sábado,51,41,Nublado
Ruta 3,Domingo,16,23,Lluvioso
Ruta 4,Martes,51,35,Nublado
Ruta 2,Jueves,24,48,Nublado
Ruta 3,Jueves,31,21,Lluvioso
Ruta 1,Lunes,18,24,Nublado
Ruta 5,Lunes,49,43,Soleado
Ruta 3,Viernes,47,32,Soleado
Ruta 4,Jueves,40,29,Lluvioso
Ruta 3,Viernes,25,46,Nublado
Ruta 2,Lunes,42,33,Soleado
Ruta 5,Lunes,44,22,Lluvioso
Ruta 2,Sábado,32,6,Soleado
Ruta 5,Domingo,37,43,Nublado
Ruta 4,Miércoles,31,9,Soleado
Ruta 1,Lunes,58,21,Lluvioso
Ruta 3,Sábado,48,34,Lluvioso
Ruta 1,Lunes,34,20,Soleado
Ruta 5,Martes,38,32,Nublado
Ruta 3,Miércoles,57,49,Lluvioso
Ruta 1,Jueves,57,35,Lluvioso
Ruta 3,Jueves,26,45,Soleado
Ruta 1,Miércoles,23,17,Lluvioso
Ruta 3,Sábado,47,31,Nublado
Ruta 3,Lunes,57,5,Soleado
Ruta 4,Martes,16,6,Lluvioso
Ruta 5,Domingo,44,25,Lluvioso
Ruta 1,Sábado,41,37,Nublado
Ruta 3,Domingo,54,39,Soleado
Ruta 3,Jueves,28,32,Lluvioso
Ruta 2,Miércoles,22,13,Soleado
Ruta 4,Martes,57,16,Nublado
Ruta 3,Domingo,54,41,Nublado
Ruta 1,Miércoles,18,50,Nublado
Ruta 5,Jueves,29,16,Nublado
Ruta 3,Lunes,41,38,Soleado
Ruta 4,Martes,25,35,Lluvioso
Ruta 5,Sábado,30,29,Nublado
Ruta 4,Domingo,50,12,Soleado
Ruta 3,Miércoles,34,45,Soleado
Ruta 5,Martes,60,45,Lluvioso
Ruta 1,Viernes,23,37,Soleado
Ruta 2,Jueves,42,38,Nublado
Ruta 1,Viernes,57,39,Lluvioso
Ruta 4,Jueves,33,15,Soleado
Ruta 2,Miércoles,24,30,Nublado
Ruta 5,Domingo,57,7,Soleado
Ruta 4,Sábado,53,24,Soleado
Ruta 2,Martes,21,30,Soleado
Ruta 3,Sábado,19,22,Nublado
Ruta 1,Lunes,20,19,Lluvioso
Ruta 1,Lunes,17,33,Nublado
Ruta 1,Domingo,26,13,Nublado
Ruta 4,Miércoles,35,49,Soleado
Ruta 2,Domingo,30,5,Nublado
Ruta 3,Jueves,49,15,Soleado
Ruta 3,Miércoles,59,7,Nublado
Ruta 3,Sábado,27,10,Nublado
Ruta 2,Miércoles,59,30,Lluvioso
Ruta 2,Miércoles,60,11,Nublado
Ruta 1,Miércoles,23,50,Lluvioso
Ruta 4,Martes,26,48,Soleado
Ruta 1,Domingo,55,31,Nublado
Ruta 1,Viernes,49,45,Nublado
Ruta 2,Martes,49,23,Soleado
Ruta 2,Jueves,55,24,Nublado
Ruta 4,Miércoles,21,20,Lluvioso
Ruta 5,Domingo,26,21,Nublado
Ruta 4,Lunes,52,41,Lluvioso
Ruta 1,Sábado,28,9,Soleado
Ruta 4,Lunes,28,11,Lluvioso
Ruta 2,Sábado,47,35,Lluvioso
Ruta 4,Viernes,35,22,Nublado
Ruta 1,Martes,48,12,Nublado
Ruta 4,Lunes,39,18,Nublado
Ruta 4,Viernes,18,28,Nublado
Ruta 4,Miércoles,48,8,Soleado
Ruta 2,Jueves,57,10,Soleado
Ruta 1,Jueves,57,22,Lluvioso
Ruta 5,Miércoles,38,24,Lluvioso
Ruta 5,Sábado,34,45,Lluvioso
Ruta 4,Domingo,49,19,Soleado
Ruta 5,Domingo,40,19,Nublado
Ruta 2,Miércoles,57,26,Soleado
Ruta 1,Sábado,60,49,Soleado
Ruta 3,Miércoles,57,6,Lluvioso
Ruta 5,Miércoles,43,7,Soleado
Ruta 1,Martes,42,31,Soleado
Ruta 4,Martes,31,18,Soleado
Ruta 2,Lunes,58,13,Soleado
Ruta 4,Jueves,57,11,Lluvioso
Ruta 1,Domingo,22,27,Soleado
Ruta 5,Sábado,43,19,Soleado
Ruta 2,Sábado,18,23,Lluvioso
Ruta 1,Martes,41,38,Nublado
Ruta 5,Jueves,45,46,Soleado
Ruta 3,Lunes,20,26,Lluvioso
Ruta 3,Martes,34,5,Soleado
Ruta 1,Lunes,24,8,Lluvioso
Ruta 5,Martes,15,12,Soleado
Ruta 4,Martes,50,26,Nublado
Ruta 1,Jueves,16,22,Lluvioso
Ruta 3,Martes,37,12,Soleado
Ruta 1,Jueves,28,42,Lluvioso
Ruta 4,Domingo,40,49,Soleado
Ruta 3,Domingo,27,16,Nublado
Ruta 3,Lunes,46,21,Nublado
Ruta 3,Martes,56,36,Nublado
Ruta 2,Lunes,18,25,Lluvioso
Ruta 5,Martes,28,6,Nublado
Ruta 5,Jueves,26,35,Soleado
Ruta 2,Miércoles,45,16,Soleado
Ruta 2,Viernes,36,13,Nublado
Ruta 2,Viernes,25,41,Nublado
Ruta 2,Martes,58,28,Nublado
Ruta 1,Jueves,37,42,Soleado
Ruta 1,Viernes,20,12,Lluvioso
Ruta 3,Viernes,29,31,Soleado
Ruta 4,Sábado,59,49,Lluvioso
Ruta 1,Viernes,41,42,Lluvioso
Ruta 1,Martes,17,36,Soleado
Ruta 2,Jueves,27,36,Nublado
Ruta 2,Sábado,35,7,Nublado
Ruta 5,Jueves,52,40,Lluvioso
Ruta 4,Jueves,59,18,Nublado
Ruta 1,Domingo,49,32,Nublado
Ruta 4,Viernes,20,39,Soleado
Ruta 4,Sábado,47,19,Nublado
Ruta 3,Jueves,47,6,Lluvioso
Ruta 2,Miércoles,47,26,Soleado
Ruta 1,Viernes,37,39,Soleado
Ruta 5,Lunes,58,36,Soleado
Ruta 3,Lunes,31,48,Soleado
Ruta 1,Martes,19,42,Soleado
Ruta 3,Miércoles,29,25,Soleado
Ruta 3,Sábado,34,29,Lluvioso
Ruta 4,Domingo,24,26,Soleado
Ruta 4,Martes,22,17,Lluvioso
Ruta 1,Martes,45,27,Nublado
Ruta 4,Miércoles,33,23,Nublado
Ruta 3,Sábado,25,29,Nublado
Ruta 4,Viernes,57,31,Nublado
Ruta 3,Viernes,52,9,Nublado
Ruta 2,Viernes,53,49,Soleado
Ruta 2,Miércoles,48,30,Nublado
Ruta 5,Domingo,22,41,Soleado
Ruta 1,Lunes,26,48,Lluvioso
Ruta 2,Miércoles,24,35,Lluvioso
Ruta 1,Lunes,56,45,Soleado
Ruta 1,Lunes,54,41,Soleado
Ruta 3,Lunes,46,44,Nublado
Ruta 1,Sábado,37,26,Soleado
Ruta 2,Miércoles,60,16,Lluvioso
Ruta 2,Lunes,44,7,Lluvioso
Ruta 1,Jueves,35,28,Lluvioso
Ruta 3,Martes,57,41,Lluvioso
Ruta 3,Lunes,18,38,Soleado
Ruta 4,Lunes,27,25,Lluvioso
Ruta 5,Domingo,58,41,Nublado
Ruta 1,Miércoles,58,30,Nublado
Ruta 3,Martes,33,28,Lluvioso
Ruta 1,Martes,20,50,Nublado
Ruta 1,Viernes,20,24,Soleado
Ruta 3,Domingo,36,35,Lluvioso
Ruta 3,Martes,51,36,Lluvioso
Ruta 2,Lunes,45,48,Lluvioso
Ruta 2,Viernes,52,24,Lluvioso
Ruta 1,Sábado,58,43,Soleado
Ruta 2,Lunes,20,18,Nublado
Ruta 5,Domingo,39,31,Soleado
Ruta 3,Martes,31,48,Nublado
Ruta 3,Martes,38,49,Nublado
Ruta 2,Viernes,37,30,Nublado
Ruta 2,Martes,31,15,Lluvioso
Ruta 2,Sábado,32,47,Lluvioso
Ruta 2,Martes,23,32,Lluvioso
Ruta 1,Viernes,34,15,Nublado
Ruta 2,Sábado,31,12,Lluvioso
Ruta 1,Lunes,21,5,Lluvioso
Ruta 1,Domingo,43,26,Lluvioso
Ruta 1,Jueves,35,40,Lluvioso
Ruta 5,Sábado,43,49,Soleado
Ruta 5,Miércoles,48,48,Nublado
Ruta 5,Martes,52,44,Soleado
Ruta 5,Domingo,36,43,Soleado
Ruta 5,Martes,60,45,Nublado
Ruta 4,Martes,53,50,Soleado
Ruta 1,Jueves,43,49,Lluvioso
Ruta 3,Jueves,40,41,Lluvioso
Ruta 4,Martes,28,35,Lluvioso
Ruta 2,Viernes,45,19,Soleado
Ruta 4,Martes,55,30,Nublado
Ruta 5,Miércoles,22,9,Lluvioso
Ruta 3,Jueves,38,46,Lluvioso
Ruta 5,Domingo,40,45,Soleado
Ruta 2,Viernes,52,42,Nublado
Ruta 4,Jueves,31,17,Nublado
Ruta 3,Domingo,58,34,Nublado
Ruta 5,Lunes,51,9,Lluvioso
Ruta 4,Viernes,18,41,Soleado
Ruta 2,Miércoles,60,47,Lluvioso
Ruta 5,Jueves,26,26,Lluvioso
Ruta 2,Martes,17,11,Soleado
Ruta 2,Jueves,25,43,Nublado
Ruta 3,Viernes,36,27,Lluvioso
Ruta 1,Martes,59,13,Lluvioso
Ruta 3,Lunes,31,24,Soleado
Ruta 1,Domingo,52,12,Lluvioso
Ruta 4,Domingo,44,16,Lluvioso
Ruta 3,Martes,25,28,Lluvioso
Ruta 3,Domingo,41,11,Soleado
Ruta 5,Viernes,15,26,Soleado
Ruta 2,Jueves,29,27,Lluvioso
Ruta 2,Viernes,39,42,Soleado
Ruta 5,Miércoles,47,30,Lluvioso
Ruta 5,Miércoles,52,15,Soleado
Ruta 2,Viernes,45,45,Lluvioso
Ruta 3,Sábado,35,5,Soleado
Ruta 1,Viernes,31,27,Lluvioso
Ruta 5,Viernes,28,29,Lluvioso
Ruta 5,Miércoles,28,22,Soleado
Ruta 2,Domingo,39,20,Lluvioso
Ruta 5,Viernes,19,27,Soleado
Ruta 4,Miércoles,58,37,Soleado
Ruta 1,Martes,49,20,Soleado
Ruta 2,Viernes,51,41,Soleado
Ruta 4,Jueves,16,18,Nublado
Ruta 3,Domingo,19,40,Nublado
Ruta 1,Sábado,60,36,Soleado
Ruta 5,Domingo,36,32,Soleado
Ruta 1,Viernes,52,44,Lluvioso
Ruta 3,Martes,59,15,Soleado
Ruta 3,Sábado,22,18,Lluvioso
Ruta 1,Miércoles,49,20,Soleado
Ruta 3,Miércoles,39,36,Lluvioso
Ruta 3,Domingo,50,20,Lluvioso
Ruta 5,Sábado,29,20,Nublado
Ruta 3,Miércoles,44,34,Nublado
Ruta 5,Miércoles,21,27,Nublado
Ruta 4,Viernes,19,17,Nublado
Ruta 3,Viernes,45,13,Lluvioso
Ruta 3,Miércoles,57,49,Lluvioso
Ruta 4,Lunes,28,33,Lluvioso
Ruta 3,Miércoles,25,11,Lluvioso
Ruta 2,Miércoles,28,8,Lluvioso
Ruta 3,Martes,35,39,Nublado
Ruta 2,Jueves,27,35,Soleado
Ruta 3,Lunes,18,37,Soleado
Ruta 2,Viernes,39,41,Soleado
Ruta 1,Miércoles,20,8,Nublado
Ruta 5,Martes,38,15,Lluvioso
Ruta 2,Domingo,43,30,Lluvioso
Ruta 5,Domingo,37,18,Nublado
Ruta 3,Domingo,35,6,Lluvioso
Ruta 2,Sábado,38,48,Lluvioso
Ruta 3,Miércoles,24,37,Nublado
Ruta 1,Jueves,33,46,Lluvioso
Ruta 4,Domingo,17,13,Soleado
Ruta 4,Viernes,26,26,Lluvioso
Ruta 2,Lunes,28,31,Lluvioso
Ruta 3,Viernes,18,49,Lluvioso
Ruta 4,Martes,59,49,Soleado
Ruta 2,Sábado,36,5,Lluvioso
Ruta 5,Domingo,25,46,Soleado
Ruta 3,Miércoles,27,33,Lluvioso
Ruta 4,Miércoles,54,34,Lluvioso
Ruta 4,Sábado,37,36,Nublado
Ruta 4,Lunes,55,44,Soleado
Ruta 2,Viernes,17,10,Soleado
Ruta 2,Lunes,16,9,Nublado
Ruta 4,Viernes,40,37,Soleado
Ruta 1,Jueves,53,24,Nublado
Ruta 2,Viernes,54,22,Soleado
Ruta 2,Domingo,18,6,Soleado
Ruta 5,Viernes,52,28,Nublado
Ruta 1,Miércoles,47,14,Soleado
Ruta 2,Sábado,32,7,Nublado
Ruta 4,Miércoles,51,42,Lluvioso
Ruta 5,Lunes,52,41,Nublado
Ruta 1,Sábado,58,13,Lluvioso
Ruta 5,Sábado,43,24,Nublado
Ruta 3,Martes,43,40,Soleado
Ruta 4,Sábado,43,12,Nublado
Ruta 5,Jueves,38,43,Soleado
Ruta 4,Jueves,56,24,Nublado
Ruta 1,Sábado,19,18,Nublado
Ruta 4,Martes,21,7,Lluvioso
Ruta 5,Jueves,55,47,Lluvioso
Ruta 1,Lunes,55,32,Nublado
Ruta 2,Miércoles,36,48,Soleado
Ruta 4,Miércoles,46,22,Nublado
Ruta 4,Jueves,42,45,Soleado
Ruta 4,Domingo,22,17,Nublado
Ruta 5,Viernes,25,26,Nublado
Ruta 5,Sábado,39,25,Lluvioso
Ruta 5,Lunes,53,9,Lluvioso
Ruta 2,Martes,29,37,Nublado
Ruta 1,Jueves,27,17,Lluvioso
Ruta 4,Lunes,19,40,Nublado
Ruta 2,Lunes,15,38,Lluvioso
Ruta 5,Martes,54,31,Nublado
Ruta 2,Lunes,57,8,Soleado
Ruta 3,Viernes,54,16,Nublado
Ruta 3,Miércoles,42,23,Lluvioso
Ruta 2,Martes,26,8,Soleado
Ruta 2,Martes,50,33,Soleado
Ruta 3,Miércoles,33,24,Soleado
Ruta 1,Jueves,45,25,Nublado
Ruta 1,Miércoles,39,8,Soleado
Ruta 2,Jueves,24,20,Nublado
Ruta 4,Domingo,31,28,Soleado
Ruta 2,Martes,43,34,Soleado
Ruta 5,Lunes,42,42,Nublado
Ruta 4,Lunes,17,29,Soleado
Ruta 5,Domingo,18,31,Nublado
Ruta 5,Lunes,57,7,Soleado
Ruta 4,Martes,34,28,Nublado
Ruta 2,Viernes,18,39,Nublado
Ruta 4,Martes,37,31,Soleado
Ruta 5,Lunes,57,28,Soleado
Ruta 2,Lunes,44,31,Nublado
Ruta 1,Sábado,27,44,Soleado
Ruta 3,Domingo,51,31,Soleado
Ruta 4,Miércoles,30,26,Soleado
Ruta 4,Sábado,53,39,Nublado
Ruta 4,Domingo,48,10,Lluvioso
Ruta 1,Lunes,50,29,Nublado
Ruta 5,Martes,40,22,Lluvioso
Ruta 5,Sábado,33,23,Nublado
Ruta 3,Sábado,18,42,Lluvioso
Ruta 5,Martes,56,7,Lluvioso
Ruta 2,Martes,49,50,Nublado
Ruta 4,Domingo,24,30,Lluvioso
Ruta 5,Miércoles,58,22,Lluvioso
Ruta 1,Sábado,33,37,Lluvioso
Ruta 2,Miércoles,37,41,Nublado
Ruta 3,Domingo,30,7,Soleado
Ruta 2,Viernes,34,33,Nublado
Ruta 1,Miércoles,17,15,Lluvioso
Ruta 5,Sábado,58,8,Lluvioso
Ruta 5,Lunes,41,28,Nublado
Ruta 4,Viernes,36,47,Soleado
Ruta 3,Jueves,44,18,Nublado
Ruta 3,Viernes,33,49,Soleado
Ruta 2,Lunes,40,41,Lluvioso
Ruta 5,Lunes,25,15,Soleado
Ruta 4,Lunes,45,16,Nublado
Ruta 2,Domingo,24,8,Lluvioso
Ruta 1,Viernes,59,15,Lluvioso
Ruta 5,Viernes,39,23,Soleado
Ruta 5,Viernes,35,17,Nublado
Ruta 5,Sábado,17,18,Lluvioso
Ruta 4,Martes,53,24,Lluvioso
Ruta 3,Miércoles,41,10,Soleado
Ruta 4,Viernes,31,15,Soleado
Ruta 2,Miércoles,21,48,Soleado
Ruta 4,Sábado,48,49,Soleado
Ruta 4,Viernes,22,19,Soleado
Ruta 2,Jueves,42,10,Soleado
Ruta 2,Miércoles,42,34,Lluvioso
Ruta 4,Lunes,36,47,Soleado
Ruta 1,Domingo,52,13,Lluvioso
Ruta 3,Martes,19,13,Nublado
Ruta 5,Lunes,30,45,Nublado
Ruta 1,Viernes,38,24,Lluvioso
Ruta 2,Sábado,25,30,Nublado
Ruta 4,Jueves,55,8,Nublado
Ruta 5,Viernes,22,22,Soleado
Ruta 4,Miércoles,38,48,Lluvioso
Ruta 1,Martes,23,31,Soleado
Ruta 3,Domingo,54,18,Nublado
Ruta 2,Lunes,38,38,Nublado
Ruta 1,Miércoles,43,32,Lluvioso
Ruta 1,Viernes,60,29,Lluvioso
Ruta 4,Lunes,31,45,Lluvioso
Ruta 4,Martes,34,32,Lluvioso
Ruta 2,Lunes,59,6,Lluvioso
Ruta 4,Viernes,19,45,Soleado
Ruta 4,Jueves,60,41,Soleado
Ruta 1,Jueves,44,18,Nublado
Ruta 3,Viernes,46,16,Nublado
Ruta 1,Lunes,35,40,Nublado
Ruta 3,Sábado,22,12,Lluvioso
Ruta 5,Sábado,52,22,Soleado
Ruta 4,Sábado,23,36,Lluvioso
Ruta 1,Domingo,52,28,Lluvioso
Ruta 4,Viernes,37,42,Nublado
Ruta 2,Miércoles,17,26,Lluvioso
Ruta 2,Viernes,21,13,Nublado
Ruta 1,Lunes,33,5,Nublado
Ruta 2,Lunes,60,38,Nublado
Ruta 4,Lunes,51,23,Nublado
Ruta 4,Miércoles,49,42,Soleado
Ruta 1,Sábado,42,46,Soleado
Ruta 3,Jueves,41,23,Nublado
Ruta 2,Sábado,57,18,Lluvioso
Ruta 5,Martes,52,26,Lluvioso
Ruta 5,Viernes,31,42,Nublado
Ruta 5,Jueves,44,28,Nublado
Ruta 5,Sábado,31,45,Lluvioso
Ruta 2,Viernes,18,42,Soleado
Ruta 3,Lunes,29,17,Soleado
Ruta 5,Sábado,18,38,Lluvioso
Ruta 2,Jueves,38,36,Nublado
Ruta 1,Miércoles,27,46,Nublado
Ruta 1,Viernes,39,27,Lluvioso
Ruta 3,Jueves,15,41,Soleado
Ruta 4,Viernes,37,17,Nublado
Ruta 4,Martes,32,6,Nublado
Ruta 4,Jueves,40,43,Soleado
Ruta 1,Viernes,47,5,Lluvioso
Ruta 3,Miércoles,33,7,Lluvioso
Ruta 4,Viernes,17,39,Lluvioso
Ruta 1,Viernes,40,35,Nublado
Ruta 4,Martes,28,42,Nublado
Ruta 1,Lunes,32,50,Nublado
Ruta 2,Martes,20,36,Lluvioso
Ruta 5,Martes,48,23,Soleado
Ruta 4,Martes,24,25,Nublado
Ruta 2,Miércoles,53,6,Soleado
Ruta 3,Jueves,19,18,Lluvioso
Ruta 2,Viernes,21,33,Soleado
Ruta 4,Miércoles,23,43,Nublado
Ruta 1,Lunes,38,34,Soleado
Ruta 1,Sábado,49,26,Nublado
Ruta 4,Domingo,57,47,Soleado
Ruta 4,Martes,35,37,Nublado
Ruta 3,Martes,46,38,Lluvioso
Ruta 1,Miércoles,37,7,Nublado
Ruta 5,Domingo,24,40,Nublado
Ruta 1,Sábado,44,7,Soleado
Ruta 2,Lunes,29,13,Lluvioso
Ruta 4,Martes,52,16,Nublado
Ruta 5,Miércoles,27,9,Lluvioso
Ruta 5,Miércoles,60,7,Lluvioso
Ruta 3,Miércoles,15,18,Nublado
Ruta 2,Jueves,45,42,Soleado
Ruta 3,Miércoles,41,41,Nublado
Ruta 2,Martes,42,31,Nublado
Ruta 4,Lunes,26,23,Nublado
Ruta 5,Martes,48,12,Lluvioso
Ruta 3,Jueves,51,10,Lluvioso
Ruta 1,Viernes,39,44,Soleado
Ruta 2,Viernes,40,45,Soleado
Ruta 4,Sábado,31,47,Lluvioso
Ruta 3,Jueves,16,25,Lluvioso
Ruta 1,Domingo,26,27,Soleado
Ruta 5,Lunes,48,24,Lluvioso
Ruta 5,Lunes,45,46,Soleado
Ruta 2,Jueves,29,32,Lluvioso
Ruta 4,Domingo,15,8,Nublado
Ruta 4,Miércoles,54,34,Nublado
Ruta 5,Domingo,33,36,Soleado
Ruta 1,Viernes,30,44,Nublado
Ruta 3,Jueves,29,49,Lluvioso
Ruta 3,Miércoles,34,47,Soleado
Ruta 5,Jueves,40,33,Nublado
Ruta 1,Jueves,38,41,Nublado
Ruta 1,Miércoles,40,35,Lluvioso
Ruta 4,Viernes,60,5,Nublado
Ruta 4,Miércoles,28,16,Soleado
Ruta 3,Martes,57,9,Nublado
Ruta 4,Lunes,43,23,Soleado
Ruta 5,Sábado,44,12,Nublado
Ruta 2,Domingo,51,11,Lluvioso
Ruta 4,Lunes,56,24,Nublado
Ruta 1,Jueves,57,8,Lluvioso
Ruta 4,Miércoles,36,35,Lluvioso
Ruta 3,Jueves,54,24,Lluvioso
Ruta 3,Jueves,53,21,Lluvioso
Ruta 2,Martes,36,12,Nublado
Ruta 3,Viernes,25,16,Nublado
Ruta 3,Domingo,53,48,Lluvioso
Ruta 3,Domingo,58,14,Nublado
Ruta 5,Sábado,21,26,Lluvioso
Ruta 1,Domingo,59,39,Nublado
Ruta 4,Miércoles,20,44,Lluvioso
Ruta 4,Viernes,21,20,Soleado
Ruta 5,Sábado,60,17,Lluvioso
Ruta 1,Lunes,27,20,Nublado
Ruta 5,Miércoles,27,23,Nublado
Ruta 4,Jueves,44,7,Lluvioso
Ruta 3,Lunes,53,14,Nublado
Ruta 1,Sábado,57,9,Nublado
Ruta 1,Martes,32,5,Lluvioso
Ruta 1,Viernes,25,36,Nublado
Ruta 1,Lunes,37,40,Lluvioso
Ruta 5,Sábado,24,39,Lluvioso
Ruta 4,Sábado,57,41,Lluvioso
Ruta 4,Jueves,30,20,Nublado
Ruta 3,Sábado,47,37,Soleado
Ruta 1,Sábado,33,27,Nublado
Ruta 5,Sábado,23,22,Lluvioso
Ruta 3,Domingo,38,41,Nublado
Ruta 1,Miércoles,45,22,Lluvioso
Ruta 5,Martes,47,48,Lluvioso
Ruta 3,Lunes,58,33,Nublado
Ruta 3,Viernes,25,50,Nublado
Ruta 1,Domingo,18,14,Lluvioso
Ruta 5,Martes,43,27,Soleado
Ruta 2,Domingo,47,38,Nublado
Ruta 3,Domingo,47,10,Soleado
Ruta 4,Domingo,55,34,Soleado
Ruta 2,Martes,55,5,Nublado
Ruta 5,Miércoles,29,29,Soleado
Ruta 5,Sábado,36,39,Lluvioso
Ruta 2,Lunes,37,17,Soleado
Ruta 5,Sábado,20,27,Lluvioso
Ruta 4,Lunes,22,17,Lluvioso
Ruta 1,Martes,43,45,Soleado
Ruta 4,Lunes,20,35,Nublado
Ruta 1,Lunes,50,14,Nublado
Ruta 5,Miércoles,50,15,Nublado
Ruta 3,Miércoles,26,45,Lluvioso
Ruta 3,Lunes,27,17,Lluvioso
Ruta 2,Miércoles,17,9,Lluvioso
Ruta 2,Viernes,20,15,Nublado
Ruta 4,Lunes,51,9,Nublado
Ruta 1,Martes,54,47,Nublado
Ruta 3,Domingo,24,31,Soleado
Ruta 1,Sábado,24,31,Nublado
Ruta 4,Martes,22,43,Nublado
Ruta 5,Sábado,30,22,Nublado
Ruta 5,Viernes,38,42,Lluvioso
Ruta 2,Domingo,35,16,Nublado
Ruta 3,Domingo,44,48,Lluvioso
Ruta 1,Domingo,47,15,Nublado
Ruta 1,Miércoles,34,15,Nublado
Ruta 2,Sábado,44,27,Soleado
Ruta 1,Jueves,17,49,Lluvioso
Ruta 1,Lunes,43,46,Lluvioso
Ruta 2,Jueves,33,34,Lluvioso
Ruta 1,Martes,30,44,Soleado
Ruta 4,Viernes,22,31,Soleado
Ruta 2,Sábado,17,29,Nublado
Ruta 3,Martes,28,29,Nublado
Ruta 5,Lunes,37,33,Soleado
Ruta 4,Domingo,60,40,Soleado
Ruta 3,Lunes,55,34,Lluvioso
Ruta 5,Lunes,51,50,Nublado
Ruta 5,Jueves,19,15,Nublado
Ruta 5,Viernes,21,17,Nublado
Ruta 5,Miércoles,19,25,Soleado
Ruta 4,Jueves,21,7,Lluvioso
Ruta 4,Jueves,35,24,Nublado
Ruta 5,Sábado,55,24,Nublado
Ruta 1,Jueves,40,14,Soleado
Ruta 4,Jueves,29,28,Lluvioso
Ruta 4,Domingo,21,19,Soleado
Ruta 1,Miércoles,20,28,Lluvioso
Ruta 5,Viernes,22,49,Nublado
Ruta 4,Lunes,25,25,Nublado
Ruta 1,Martes,55,8,Soleado
Ruta 2,Viernes,57,26,Nublado
Ruta 2,Sábado,40,25,Lluvioso
Ruta 1,Viernes,25,44,Soleado
Ruta 1,Martes,16,34,Nublado
Ruta 2,Martes,26,50,Lluvioso
Ruta 3,Sábado,19,39,Lluvioso
Ruta 4,Martes,37,14,Soleado
Ruta 3,Domingo,17,24,Nublado
Ruta 2,Viernes,33,21,Nublado
Ruta 4,Lunes,15,42,Soleado
Ruta 5,Jueves,43,17,Soleado
Ruta 1,Viernes,31,8,Lluvioso
Ruta 2,Sábado,51,46,Lluvioso
Ruta 1,Jueves,31,19,Lluvioso
Ruta 2,Domingo,30,10,Lluvioso
Ruta 2,Lunes,55,42,Nublado
Ruta 1,Domingo,20,32,Soleado
Ruta 1,Domingo,40,44,Nublado
Ruta 4,Martes,55,26,Nublado
Ruta 1,Martes,57,39,Soleado
Ruta 3,Martes,50,22,Lluvioso
Ruta 5,Lunes,58,22,Soleado
Ruta 5,Jueves,18,32,Lluvioso
Ruta 5,Viernes,18,8,Nublado
Ruta 3,Domingo,30,44,Soleado
Ruta 4,Lunes,23,42,Lluvioso
Ruta 5,Viernes,44,28,Nublado
Ruta 2,Domingo,46,7,Nublado
Ruta 4,Miércoles,17,15,Soleado
Ruta 1,Lunes,44,47,Lluvioso
Ruta 1,Miércoles,60,40,Soleado
Ruta 2,Lunes,34,9,Soleado
Ruta 3,Viernes,56,14,Lluvioso
Ruta 3,Sábado,24,34,Nublado
Ruta 1,Lunes,22,43,Nublado
Ruta 5,Domingo,55,40,Soleado
Ruta 4,Lunes,18,7,Soleado
Ruta 2,Lunes,22,20,Soleado
Ruta 4,Viernes,47,23,Lluvioso
Ruta 2,Domingo,34,8,Soleado
Ruta 5,Miércoles,31,18,Lluvioso
Ruta 3,Sábado,53,26,Nublado
Ruta 3,Jueves,33,14,Lluvioso
Ruta 2,Domingo,17,35,Nublado
Ruta 4,Domingo,49,7,Soleado
Ruta 1,Lunes,46,19,Nublado
Ruta 1,Domingo,28,31,Soleado
Ruta 5,Jueves,50,21,Nublado
Ruta 4,Martes,48,18,Nublado
Ruta 2,Viernes,49,16,Soleado
Ruta 1,Martes,45,13,Soleado
Ruta 2,Miércoles,52,42,Soleado
Ruta 1,Domingo,21,13,Nublado
Ruta 2,Domingo,46,26,Lluvioso
Ruta 4,Jueves,35,47,Soleado
Ruta 5,Jueves,42,12,Nublado
